"";"formaal";"reisetid";"reisemiddel";"ind";"NR";"dato";"arbeidsplass";"student";"fastoppmoete";"hjemmekontor";"arbeidstid";"yrke";"kjoenn";"alder";"alderskategori";"barn";"voksne";"totmedlem";"husholdning";"Kommunenavn";"fylke";"day";"hverdag";"antall_reiser";"tottid";"tellekategori";"annerledes_janei";"mindrekollektiv";"annettidspunkt";"mer_bil";"mer_sykkelgange";"monthyear";"tidskategori";"ID";"car_driver_boo"
"1";"Freetime activities";23;"Public transportation";"delreise 1.1";10013439;"2020-10-21";"Office job, research, administration";"Not student";NA;"Work from home";"Standard Business Day";"Full-time";"Female";24;"18 - 24";0;2;2;"Couple w/o children";"OSLO";"OSLO";"Wed";"Weekday";2;48;"1-2 trips";"Ja";0;0;0;0;"Oct'20";"15 - 30 min";10013439;0
"2";"To/from workplace";5;"Car, driver";"delreise 1.1";10013618;"2020-10-21";"Industry, agriculture, craftmanship";"Not student";NA;NA;"Flextime";"Full-time";"Female";25;"25 - 34";0;1;1;"Single w/o children";"ULLENSVANG";"VESTLAND";"Wed";"Weekday";4;15;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"< 5 min";10013618;1
"3";"To/from workplace";35;"Public transportation";"delreise 1.1";10013753;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";24;"18 - 24";0;2;2;"Several adults";"OSLO";"OSLO";"Wed";"Weekday";3;65;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"30 - 60 min";10013753;0
"4";"School/university";10;"Pedal bike";"delreise 1.1";10013791;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";25;"25 - 34";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;65;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10013791;0
"5";"To/from workplace";25;"Car, driver";"delreise 1.1";10014088;"2020-10-21";"Industry, agriculture, craftmanship";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";25;"25 - 34";0;3;3;"Several adults";"HOLMESTRAND";"VESTFOLD OG TELEMARK";"Wed";"Weekday";1;25;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10014088;1
"6";"School/university";20;"Public transportation";"delreise 1.1";10014195;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Male";30;"25 - 34";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";1;20;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10014195;0
"7";"Shopping/grocery/service";25;"Public transportation";"delreise 1.1";10014300;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";26;"25 - 34";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";6;103;"5-6 trips";"Ja";1;1;0;1;"Oct'20";"15 - 30 min";10014300;0
"8";"Freetime activities";24;"Public transportation";"delreise 1.1";10014315;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";24;"18 - 24";0;2;2;"Several adults";"OSLO";"OSLO";"Wed";"Weekday";2;50;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10014315;0
"9";"School/university";11;"Public transportation";"delreise 1.1";10014378;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";28;"25 - 34";0;2;2;"Couple w/o children";NA;NA;"Wed";"Weekday";2;23;"1-2 trips";"Ja";0;0;0;0;"Oct'20";"10 - 15 min";10014378;0
"10";"Freetime activities";40;"Car, driver";"delreise 1.1";10014556;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";26;"25 - 34";0;2;2;"Couple w/o children";NA;NA;"Wed";"Weekday";2;80;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"30 - 60 min";10014556;1
"11";"To/from workplace";10;"Public transportation";"delreise 1.1";10014592;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";25;"25 - 34";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";3;35;"3-4 trips";"Ja";0;1;0;0;"Oct'20";"5 - 10 min";10014592;0
"12";"Shopping/grocery/service";24;"Public transportation";"delreise 1.1";10014636;"2020-10-14";"Restaurant, stores, taxi, goods delivery";"Not student";NA;NA;"Different schedule";"Part-time";"Female";28;"25 - 34";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;49;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10014636;0
"13";"Shopping/grocery/service";6;"By foot";"delreise 1.1";10014647;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";26;"25 - 34";0;3;3;"Several adults";NA;NA;"Wed";"Weekday";3;18;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10014647;0
"14";"To/from workplace";13;"Car, passenger";"delreise 1.1";10014914;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";56;"55 - 66";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;93;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10014914;0
"15";"To/from workplace";30;"Public transportation";"delreise 1.1";10014981;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";25;"25 - 34";0;1;1;"Single w/o children";"SOGNDAL";"VESTLAND";"Wed";"Weekday";3;65;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10014981;0
"16";"To/from workplace";25;"Pedal bike";"delreise 1.1";10015146;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";25;"25 - 34";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";3;80;"3-4 trips";"Ja";1;0;0;1;"Oct'20";"15 - 30 min";10015146;0
"17";"To/from workplace";15;"By foot";"delreise 1.1";10015244;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Full-time";"Female";28;"25 - 34";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";3;80;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10015244;0
"18";"School/university";6;"Car, driver";"delreise 1.1";10015397;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Male";25;"25 - 34";0;1;1;"Single w/o children";"DOVRE";"INNLANDET";"Wed";"Weekday";4;17;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10015397;1
"19";"Pick up/drop off trip";15;"Car, passenger";"delreise 1.1";10015640;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";50;"45 - 54";1;2;3;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";4;50;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10015640;0
"20";"Freetime activities";240;"Public transportation";"delreise 1.1";10015680;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Male";25;"25 - 34";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";3;335;"3-4 trips";"Ja";0;1;0;0;"Oct'20";"> 2 hours";10015680;0
"21";"Shopping/grocery/service";30;"Pedal bike";"delreise 1.1";10015970;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";26;"25 - 34";0;1;1;"Single w/o children";"OSLO";"OSLO";"Wed";"Weekday";2;48;"1-2 trips";"Ja";1;0;0;1;"Oct'20";"15 - 30 min";10015970;0
"22";"To/from workplace";20;"Car, passenger";"delreise 1.1";10016014;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";33;"25 - 34";0;1;1;"Single w/o children";NA;NA;"Wed";"Weekday";2;30;"1-2 trips";"Ja";1;0;1;0;"Oct'20";"15 - 30 min";10016014;0
"23";"To/from workplace";10;"Pedal bike";"delreise 1.1";10016049;"2020-10-21";"Industry, agriculture, craftmanship";"Not student";NA;NA;"Flextime";"Full-time";"Female";27;"25 - 34";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;140;"5-6 trips";"Ja";1;0;1;1;"Oct'20";"5 - 10 min";10016049;0
"24";"School/university";12;"Pedal bike";"delreise 1.1";10016503;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";26;"25 - 34";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;22;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10016503;0
"25";"To/from workplace";6;"Car, passenger";"delreise 1.1";10016783;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";56;"55 - 66";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";4;58;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10016783;0
"26";"School/university";23;"Public transportation";"delreise 1.1";10017093;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";24;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;51;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10017093;0
"27";"Shopping/grocery/service";40;"Public transportation";"delreise 1.1";10017422;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Male";19;"18 - 24";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";2;85;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"30 - 60 min";10017422;0
"28";"To/from workplace";17;"Electrical bike";"delreise 1.1";10018236;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";26;"25 - 34";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";6;88;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10018236;0
"29";"Shopping/grocery/service";6;"Car, driver";"delreise 1.1";10018256;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Full-time";"Male";28;"25 - 34";0;2;2;"Couple w/o children";"GJOEVIK";"INNLANDET";"Wed";"Weekday";5;40;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10018256;1
"30";"To/from workplace";20;"Public transportation";"delreise 1.1";10019109;"2020-10-21";NA;"Not student";NA;NA;NA;"Care work, unemployment";"Female";24;"18 - 24";0;3;3;"Several adults";"HORTEN";"VESTFOLD OG TELEMARK";"Wed";"Weekday";3;45;"3-4 trips";"Ja";0;1;0;0;"Oct'20";"15 - 30 min";10019109;0
"31";"Pick up/drop off trip";5;"By foot";"delreise 1.1";10019592;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";38;"35 - 44";3;2;5;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";6;122;"5-6 trips";"Ja";1;0;1;0;"Oct'20";"< 5 min";10019592;0
"32";"To/from workplace";30;"Public transportation";"delreise 1.1";10019694;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";28;"25 - 34";2;3;5;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";2;60;"1-2 trips";"Ja";1;1;0;0;"Oct'20";"15 - 30 min";10019694;0
"33";"To/from workplace";18;"Electrical bike";"delreise 1.1";10019987;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Male";47;"45 - 54";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;38;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10019987;0
"34";"To/from workplace";18;"Car, driver";"delreise 1.1";10020002;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";40;"35 - 44";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";9;85;"7+ trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10020002;1
"35";"To/from workplace";10;"Car, driver";"delreise 1.1";10020010;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Male";61;"55 - 66";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;170;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10020010;1
"36";"To/from workplace";15;"Pedal bike";"delreise 1.1";10020055;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";26;"25 - 34";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;58;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10020055;0
"37";"To/from workplace";20;"Car, driver";"delreise 1.1";10020065;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";55;"55 - 66";0;2;2;"Couple w/o children";"MELHUS";"TROENDELAG";"Thu";"Weekday";4;65;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10020065;1
"38";"Freetime activities";45;"Pedal bike";"delreise 1.1";10020084;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";30;"25 - 34";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";2;65;"1-2 trips";"Ja";1;0;0;1;"Oct'20";"30 - 60 min";10020084;0
"39";"Shopping/grocery/service";35;"Car, driver";"delreise 1.1";10020481;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";34;"25 - 34";0;1;1;"Single w/o children";"VOLDA";"MOERE OG ROMSDAL";"Thu";"Weekday";5;120;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"30 - 60 min";10020481;1
"40";"Shopping/grocery/service";10;"Car, driver";"delreise 1.1";10020524;"2020-10-22";"Office job, research, administration";"Not student";NA;"Work from home";"Flextime";"Full-time";"Female";40;"35 - 44";1;3;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;24;"3-4 trips";"Ja";1;0;1;0;"Oct'20";"5 - 10 min";10020524;1
"41";"To/from workplace";40;"By foot";"delreise 1.1";10020533;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";42;"35 - 44";1;2;3;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;90;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"30 - 60 min";10020533;0
"42";"Pick up/drop off trip";5;"Electrical bike";"delreise 1.1";10020536;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";34;"25 - 34";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;41;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"< 5 min";10020536;0
"43";"Pick up/drop off trip";10;"By foot";"delreise 1.1";10020648;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";39;"35 - 44";3;3;6;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";4;50;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10020648;0
"44";"Shopping/grocery/service";25;"Electrical bike";"delreise 1.1";10020696;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";33;"25 - 34";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";1;25;"1-2 trips";"Ja";1;0;0;1;"Oct'20";"15 - 30 min";10020696;0
"45";"To/from workplace";30;"Car, passenger";"delreise 1.1";10020727;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";48;"45 - 54";1;4;5;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;68;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10020727;0
"46";"To/from workplace";40;"Car, passenger";"delreise 1.1";10020786;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";48;"45 - 54";1;3;4;"Couple w/ children 0-17 y/o";NA;NA;"Thu";"Weekday";4;100;"3-4 trips";"Ja";0;0;0;0;"Oct'20";"30 - 60 min";10020786;0
"47";"Pick up/drop off trip";30;"By foot";"delreise 1.1";10020824;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";28;"25 - 34";1;2;3;"Couple w/ children 0-17 y/o";"ASKER";"VIKEN";"Thu";"Weekday";2;40;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10020824;0
"48";"Pick up/drop off trip";15;"Car, driver";"delreise 1.1";10020859;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";40;"35 - 44";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";4;50;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10020859;1
"49";"To/from workplace";20;"Pedal bike";"delreise 1.1";10020995;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";40;"35 - 44";1;1;2;"Single w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;45;"3-4 trips";"Ja";1;0;0;1;"Oct'20";"15 - 30 min";10020995;0
"50";"Shopping/grocery/service";5;"By foot";"delreise 1.1";10021050;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";30;"25 - 34";1;1;2;"Single w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";6;75;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"< 5 min";10021050;0
"51";"Shopping/grocery/service";4;"Car, driver";"delreise 1.1";10021100;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Full-time";"Male";28;"25 - 34";0;2;2;"Couple w/o children";"GJOEVIK";"INNLANDET";"Thu";"Weekday";6;75;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"< 5 min";10021100;1
"52";"To/from workplace";20;"Public transportation";"delreise 1.1";10021170;"2020-10-22";"Office job, research, administration";"Not student";NA;"Work from home";"Flextime";"Full-time";"Female";35;"35 - 44";1;3;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;340;"3-4 trips";"Ja";0;1;0;0;"Oct'20";"15 - 30 min";10021170;0
"53";"Pick up/drop off trip";3;"Car, passenger";"delreise 1.1";10021256;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Male";38;"35 - 44";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";7;45;"7+ trips";"Ja";1;0;1;0;"Oct'20";"< 5 min";10021256;0
"54";"School/university";20;"By foot";"delreise 1.1";10021778;"2020-10-22";NA;"Student";NA;NA;NA;"Student, higher education";"Female";25;"25 - 34";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";2;40;"1-2 trips";"Ja";1;1;1;1;"Oct'20";"15 - 30 min";10021778;0
"55";"School/university";21;"Public transportation";"delreise 1.1";10021903;"2020-10-22";NA;"Student";NA;NA;NA;"Student, higher education";"Female";28;"25 - 34";0;4;4;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;59;"3-4 trips";"Ja";0;1;0;0;"Oct'20";"15 - 30 min";10021903;0
"56";"To/from workplace";30;"Car, driver";"delreise 1.1";10023055;"2020-10-22";"Healthcare";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";24;"18 - 24";0;1;1;"Single w/o children";"NORDRE FOLLO";"VIKEN";"Thu";"Weekday";3;225;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10023055;1
"57";"Shopping/grocery/service";15;"Car, passenger";"delreise 1.1";10024149;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";31;"25 - 34";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";1;15;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10024149;0
"58";"To/from workplace";11;"By foot";"delreise 1.1";10024656;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";41;"35 - 44";2;3;5;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";5;90;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10024656;0
"59";"Pick up/drop off trip";12;"Car, driver";"delreise 1.1";10025592;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";38;"35 - 44";3;3;6;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";10;110;"7+ trips";"Ja";1;0;1;1;"Oct'20";"10 - 15 min";10025592;1
"60";"To/from workplace";7;"Public transportation";"delreise 1.1";10026063;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Different schedule";"Part-time";"Female";24;"18 - 24";0;5;5;"Several adults";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";6;49;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10026063;0
"61";"To/from workplace";15;"Pedal bike";"delreise 1.1";10026433;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";34;"25 - 34";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Thu";"Weekday";3;42;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10026433;0
"62";"To/from workplace";15;"Pedal bike";"delreise 1.1";10042081;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";26;"25 - 34";0;1;1;"Single w/o children";"OSLO";"OSLO";"Thu";"Weekday";3;87;"3-4 trips";"Ja";1;0;0;1;"Oct'20";"10 - 15 min";10042081;0
"63";"To/from workplace";35;"Car, passenger";"delreise 1.1";10044145;"2020-10-22";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";40;"35 - 44";0;2;2;"Couple w/o children";"STJOERDAL";"TROENDELAG";"Thu";"Weekday";3;70;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"30 - 60 min";10044145;0
"64";"To/from workplace";10;"Pedal bike";"delreise 1.1";10047380;"2020-10-23";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";2;20;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10047380;0
"65";"School/university";10;"Car, driver";"delreise 1.1";10048058;"2020-10-23";NA;"Student";NA;NA;NA;"Student, higher education";"Female";55;"55 - 66";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";5;55;"5-6 trips";"Ja";0;0;0;0;"Oct'20";"5 - 10 min";10048058;1
"66";"To/from workplace";23;"Public transportation";"delreise 1.1";10048818;"2020-10-23";"Industry, agriculture, craftmanship";"Not student";NA;NA;"Shift work, rotating shifts";"Full-time";"Female";24;"18 - 24";0;2;2;"Couple w/o children";"OSLO";"OSLO";"Fri";"Weekday";2;42;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10048818;0
"67";"Freetime activities";30;"Public transportation";"delreise 1.1";10053974;"2020-10-24";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";27;"25 - 34";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";5;95;"5-6 trips";"Ja";1;1;0;0;"Oct'20";"15 - 30 min";10053974;0
"68";"Freetime activities";2;"Car, passenger";"delreise 1.1";10056032;"2020-10-24";NA;"Student";NA;NA;NA;"Student, higher education";"Female";23;"18 - 24";3;7;10;"Several adults";"TRONDHEIM";"TROENDELAG";"Sat";"Weekend";1;2;"1-2 trips";"Ja";0;0;0;0;"Oct'20";"< 5 min";10056032;0
"69";"Pick up/drop off trip";25;"Car, driver";"delreise 1.1";10061933;"2020-10-25";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";31;"25 - 34";2;2;4;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";4;74;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10061933;1
"70";"Other";15;"Pedal bike";"delreise 1.1";10066276;"2020-10-25";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";26;"25 - 34";0;1;1;"Single w/o children";"OSLO";"OSLO";"Sun";"Weekend";4;34;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"10 - 15 min";10066276;0
"71";"Freetime activities";30;"Public transportation";"delreise 1.1";10067261;"2020-10-25";NA;"Student";NA;NA;NA;"Student, higher education";"Male";23;"18 - 24";0;2;2;"Couple w/o children";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";1;30;"1-2 trips";"Ja";0;0;0;0;"Oct'20";"15 - 30 min";10067261;0
"72";"To/from workplace";20;"Pedal bike";"delreise 1.1";10069746;"2020-10-23";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Part-time";"Female";65;"55 - 66";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Fri";"Weekday";4;60;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10069746;0
"73";"Pick up/drop off trip";5;"Car, driver";"delreise 1.1";10069884;"2020-10-26";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";41;"35 - 44";1;2;3;"Couple w/ children 0-17 y/o";"TRONDHEIM";"TROENDELAG";"Mon";"Weekday";4;40;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"< 5 min";10069884;1
"74";"Business trip / temporary accomodation";100;"Public transportation";"delreise 1.1";10070182;"2020-10-25";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Male";53;"45 - 54";0;2;2;"Couple w/o children";"DRAMMEN";"VIKEN";"Sun";"Weekend";2;210;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"1 - 2 hours";10070182;0
"75";"Business trip / temporary accomodation";30;"Public transportation";"delreise 1.1";10070981;"2020-10-25";NA;"Student";NA;NA;NA;"Student, higher education";"Female";20;"18 - 24";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Sun";"Weekend";2;60;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10070981;0
"76";"Freetime activities";30;"Car, driver";"delreise 1.1";10071664;"2020-10-25";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Male";37;"35 - 44";2;2;4;"Couple w/ children 0-17 y/o";"MALVIK";"TROENDELAG";"Sun";"Weekend";2;50;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10071664;1
"77";"Freetime activities";9;"Public transportation";"delreise 1.1";10071683;"2020-10-25";NA;"Student";NA;NA;NA;"Student, higher education";"Female";21;"18 - 24";0;4;4;"Several adults";NA;NA;"Sun";"Weekend";1;9;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10071683;0
